"id","name","admin_leve","isoa2_id","isoa3_id","area_sqkm","burn_perc","burned_area"
"1","Sudan","0","SD","SDN","1852392.529","3.688","68319.589"
"2","South Sudan","0","SS","SSD","629825.663","32.149","202481.457"
"3","Ilemi triangle","0","KE","KEN","3183.819","72.704","2314.752"
"4","Swaziland","0","SZ","SWZ","17287.076","10.093","1744.759"
"5","Uganda","0","UG","UGA","241327.177","5.351","12912.410"
"6","Saint Lucia","0","LC","LCA","617.004","0.000","0.000"
"7","Niue","0","NU","NIU","265.358","0.000","0.000"
"8","Senegal","0","SN","SEN","196841.273","18.126","35679.593"
"9","Niger","0","NE","NER","1183522.543","0.197","2331.489"
"10","Burundi","0","BI","BDI","26974.653","2.035","548.878"
"11","Liberia","0","LR","LBR","95952.854","0.148","141.843"
"12","Nauru","0","NR","NRU","14.124","0.000","0.000"
"13","Barbados","0","BB","BRB","434.715","0.000","0.000"
"14","Lesotho","0","LS","LSO","30444.733","1.421","432.575"
"15","Gambia","0","GM","GMB","10770.822","11.356","1223.177"
"16","Dominica","0","DM","DMA","758.119","0.134","1.018"
"17","Trinidad and Tobago","0","TT","TTO","5192.902","0.065","3.360"
"18","Burkina Faso","0","BF","BFA","273401.402","9.065","24783.749"
"19","Benin","0","BJ","BEN","115614.475","15.571","18002.504"
"20","Timor-Leste","0","TL","TLS","14925.502","2.393","357.201"
"21","Ghana","0","GH","GHA","238715.105","26.271","62712.370"
"22","Rwanda","0","RW","RWA","25190.452","1.959","493.595"
"23","Tonga","0","TO","TON","622.254","0.000","0.000"
"24","Samoa","0","WS","WSM","2879.702","0.000","0.000"
"25","Suriname","0","SR","SUR","145900.504","0.186","271.239"
"26","Sao Tome and Principe","0","ST","STP","1017.409","0.466","4.745"
"27","Saint Vincent and the Grenadines","0","VC","VCT","434.963","0.000","0.000"
"28","Somalia","0","SO","SOM","633035.821","0.011","71.786"
"29","Tuvalu","0","TV","TUV","22.976","0.000","0.000"
"30","Palau","0","PW","PLW","450.702","0.000","0.000"
"31","Mauritius","0","MU","MUS","2004.409","0.000","0.000"
"32","Mozambique","0","MZ","MOZ","787258.574","25.277","198998.356"
"33","Grenada","0","GD","GRD","318.640","0.000","0.000"
"34","Cook Islands","0","CK","COK","202.071","0.000","0.000"
"35","Comoros","0","KM","COM","1673.986","0.774","12.962"
"36","Kiribati","0","KI","KIR","837.956","0.000","0.000"
"37","Kenya","0","KE","KEN","581625.515","0.398","2314.752"
"38","South Africa","0","ZA","ZAF","1220475.674","2.655","32400.796"
"39","Bahamas","0","BS","BHS","13204.655","0.675","89.081"
"40","Angola","0","AO","AGO","1247384.141","34.522","430626.368"
"41","Fiji","0","FJ","FJI","18100.311","0.000","0.000"
"42","Eritrea","0","ER","ERI","120266.366","0.317","380.893"
"43","United Republic of Tanzania","0","TZ","TZA","940926.255","13.037","122669.787"
"44","Haiti","0","HT","HTI","26962.034","0.120","32.378"
"45","Equatorial Guinea","0","GQ","GNQ","26986.264","0.001","0.310"
"46","Gabon","0","GA","GAB","264744.007","0.946","2504.779"
"47","Dominican Republic","0","DO","DOM","48190.041","0.218","105.155"
"48","Djibouti","0","DJ","DJI","21676.312","0.000","0.000"
"49","Mauritania","0","MR","MRT","1038902.756","0.090","935.571"
"50","Cape Verde","0","CV","CPV","4053.258","0.000","0.000"
"51","Saint Kitts and Nevis","0","KN","KNA","267.067","0.000","0.000"
"52","Jamaica","0","JM","JAM","11026.478","0.160","17.680"
"53","Antigua and Barbuda","0","AG","ATG","437.244","0.000","0.000"
"54","Micronesia (Federated States of)","0","FM","FSM","646.584","0.000","0.000"
"55","Belize","0","BZ","BLZ","22183.577","1.922","426.331"
"56","Sierra Leone","0","SL","SLE","72291.829","10.860","7850.676"
"57","Malawi","0","MW","MWI","118064.409","6.786","8012.303"
"58","Vanuatu","0","VU","VUT","12130.888","0.040","4.839"
"59","Seychelles","0","SC","SYC","394.772","0.000","0.000"
"60","Democratic Republic of the Congo","0","CD","COD","2328245.764","17.468","406708.305"
"61","Nigeria","0","NG","NGA","909421.910","8.191","74489.048"
"62","Guyana","0","GY","GUY","210236.956","0.302","635.512"
"63","Guinea-Bissau","0","GW","GNB","33828.393","12.764","4317.735"
"64","Central African Republic","0","CF","CAF","620113.699","27.552","170851.545"
"65","Marshall Islands","0","MH","MHL","152.161","0.000","0.000"
"66","Cameroon","0","CM","CMR","466352.075","8.710","40619.952"
"67","Botswana","0","BW","BWA","578045.414","1.314","7597.699"
"68","Namibia","0","NA","NAM","824325.561","1.001","8248.910"
"69","Cuba","0","CU","CUB","111129.363","0.791","879.423"
"70","Papua New Guinea","0","PG","PNG","461761.809","0.454","2094.802"
"71","Mali","0","ML","MLI","1251390.827","4.688","58663.890"
"72","Madagascar","0","MG","MDG","591600.211","6.702","39649.951"
"73","Guinea","0","GN","GIN","244770.663","24.163","59144.013"
"74","Chad","0","TD","TCD","1269699.358","6.795","86279.576"
"75","Congo","0","CG","COG","341620.260","5.619","19197.233"
"76","C?te d'Ivoire","0","CI","CIV","321922.086","7.802","25116.497"
"77","Solomon Islands","0","SB","SLB","28394.507","0.000","0.000"
"78","Zimbabwe","0","ZW","ZWE","390660.076","7.772","30360.616"
"79","Togo","0","TG","TGO","57052.215","18.446","10524.113"
"80","Zambia","0","ZM","ZMB","750833.434","36.093","271002.040"
"81","Ethiopia","0","ET","ETH","1129347.897","5.343","60336.575"
