"id","iso3","wdpaid","burned_area","pa_area","burned_perc"
"1","ATG","31518","0.0","108.872","0.0"
"2","ATG","1","0.0","14.636","0.0"
"3","ATG","555587193","0.0","19.157","0.0"
"4","ATG","555587195","0.0","22.885","0.0"
"5","ATG","555587196","0.0","18.258","0.0"
"6","ATG","555587197","0.0","48.926","0.0"
"7","ATG","555587198","0.0","48.596","0.0"
"8","BLZ","555542674","0.0","7.816","0.0"
"9","BLZ","20224","40.605","1053.456","3.854"
"10","BLZ","20226","0.0","77.194","0.0"
"11","BLZ","20229","0.0","103.79","0.0"
"12","BLZ","99651","0.0","64.862","0.0"
"13","BLZ","99652","0.0","479.777","0.0"
"14","BLZ","99653","0.0","328.592","0.0"
"15","BLZ","99656","0.0","157.119","0.0"
"16","BLZ","220039","0.0","105.788","0.0"
"17","BLZ","220100","0.266","406.311","0.065"
"18","BLZ","301908","0.0","39.385","0.0"
"19","BLZ","301910","0.0","7.114","0.0"
"20","BLZ","301918","0.0","19.715","0.0"
"21","BLZ","301941","0.0","61.594","0.0"
"22","BLZ","313433","0.0","5.249","0.0"
"23","BLZ","342394","0.0","28.991","0.0"
"24","BLZ","342396","0.0","37.56","0.0"
"25","BLZ","342398","0.0","5.501","0.0"
"26","BLZ","342399","0.0","14.974","0.0"
"27","BLZ","342401","0.0","5.614","0.0"
"28","BLZ","342402","0.0","5.322","0.0"
"29","BLZ","342403","0.0","6.517","0.0"
"30","BLZ","342404","0.0","5.736","0.0"
"31","BLZ","342405","0.0","17.312","0.0"
"32","BLZ","342406","0.0","6.421","0.0"
"33","BLZ","342407","0.0","6.772","0.0"
"34","BLZ","342408","0.0","5.8","0.0"
"35","BLZ","2213","0.0","39.791","0.0"
"36","BLZ","12243","0.0","416.369","0.0"
"37","BLZ","19553","0.0","52.826","0.0"
"38","BLZ","555582995","0.0","36.341","0.0"
"39","BLZ","555582996","0.0","24.548","0.0"
"40","BLZ","555582998","0.0","16.256","0.0"
"41","BLZ","555582999","0.0","26.166","0.0"
"42","BLZ","555583000","0.0","8.93","0.0"
"43","BLZ","555583001","0.0","50.229","0.0"
"44","BLZ","555583002","0.0","8.832","0.0"
"45","BLZ","555583003","0.0","11.989","0.0"
"46","BLZ","555583004","0.0","1122.11","0.0"
"47","BHS","61791","0.0","10.96","0.0"
"48","BHS","555592584","0.0","208.085","0.0"
"49","BHS","555592586","0.0","126.55","0.0"
"50","BHS","555625723","0.0","74.006","0.0"
"51","BHS","555625730","0.0","16854.623","0.0"
"52","BHS","555625732","0.0","24458.606","0.0"
"53","BRB","27","0.0","13.543","0.0"
"54","BLZ","555624213","0.266","406.311","0.065"
"55","BLZ","555624214","0.0","328.592","0.0"
"56","BLZ","555624215","0.0","55.645","0.0"
"57","BDI","61707","0.0","9.179","0.0"
"58","BDI","101434","8.304","44.974","18.464"
"59","BDI","9164","1.897","27.028","7.019"
"60","BDI","9165","0.0","5.784","0.0"
"61","BDI","555622054","0.0","18.704","0.0"
"62","BDI","555622055","0.0","186.921","0.0"
"63","BWA","303628","0.0","964.604","0.0"
"64","BWA","17989","0.0","89.267","0.0"
"65","BWA","7449","1125.102","4852.884","23.184"
"66","BWA","7507","0.0","2548.915","0.0"
"67","BWA","7510","54.953","52475.764","0.105"
"68","ATG","555587192","0.0","40.843","0.0"
"69","ATG","555587194","0.0","67.097","0.0"
"70","BLZ","20230","11.785","1073.323","1.098"
"71","BLZ","34313","0.0","16.656","0.0"
"72","BLZ","34314","0.0","41.201","0.0"
"73","BLZ","61956","0.0","170.548","0.0"
"74","BLZ","61957","0.0","36.298","0.0"
"75","BLZ","61958","51.574","161.558","31.923"
"76","BLZ","301912","0.0","31.628","0.0"
"77","BLZ","301914","0.0","7.391","0.0"
"78","BLZ","301930","0.0","6.603","0.0"
"79","BLZ","301932","0.0","51.869","0.0"
"80","BLZ","301934","0.0","29.001","0.0"
"81","BLZ","301985","0.0","51.364","0.0"
"82","BLZ","313426","2.757","5.347","51.562"
"83","BLZ","342393","7.038","43.734","16.093"
"84","BHS","61790","0.0","376.247","0.0"
"85","BHS","129917","0.0","85.406","0.0"
"86","BHS","315000","0.0","220.065","0.0"
"87","BHS","315001","0.0","18.767","0.0"
"88","BHS","315003","0.0","92.882","0.0"
"89","BHS","316891","0.0","16.709","0.0"
"90","BHS","24","0.0","775.217","0.0"
"91","BHS","2187","0.0","102.415","0.0"
"92","BHS","2228","0.0","584.567","0.0"
"93","BHS","11839","0.0","8.76","0.0"
"94","BHS","11841","0.0","7.854","0.0"
"95","BHS","555592580","0.0","135.088","0.0"
"96","BHS","555592581","0.0","13.592","0.0"
"97","BHS","555592582","0.0","16.713","0.0"
"98","BHS","555592583","0.0","11.741","0.0"
"99","BHS","555592585","1.813","5143.116","0.035"
"100","BHS","555625715","0.0","20.595","0.0"
"101","BHS","555625717","0.0","23.272","0.0"
"102","BHS","555625719","0.0","41.905","0.0"
"103","BHS","555625720","0.0","129.271","0.0"
"104","BHS","555625721","0.585","23.975","2.44"
"105","BHS","555625722","0.0","488.812","0.0"
"106","BHS","555625726","0.0","13.329","0.0"
"107","BHS","555625727","0.0","16.502","0.0"
"108","BHS","555625728","23.042","869.339","2.651"
"109","BHS","555625729","0.0","61.662","0.0"
"110","BHS","555625731","0.0","249.952","0.0"
"111","BHS","555625734","0.168","947.815","0.018"
"112","BDI","9160","439.39","536.75","81.861"
"113","BDI","9161","3.011","480.662","0.626"
"114","BDI","9162","35.703","85.62","41.699"
"115","BWA","600","99.436","10561.863","0.941"
"116","BWA","601","460.336","2602.741","17.687"
"117","BWA","1224","91.741","4915.685","1.866"
"118","BWA","7508","0.0","26050.6","0.0"
"119","BLZ","555542672","40.049","51.324","78.032"
"120","BLZ","28850","0.0","169.452","0.0"
"121","BLZ","116297","6.801","162.208","4.193"
"122","BLZ","301915","0.722","6.771","10.663"
"123","BLZ","3305","18.145","435.165","4.17"
"124","BLZ","3306","0.0","601.849","0.0"
"125","BLZ","3307","4.815","392.467","1.227"
"126","BLZ","3308","1.902","32.185","5.91"
"127","BLZ","3311","75.115","273.605","27.454"
"128","BLZ","3312","27.627","60.151","45.929"
"129","BLZ","3313","0.0","12.689","0.0"
"130","BLZ","3314","0.0","602.879","0.0"
"131","BLZ","12225","1.924","134.473","1.431"
"132","BLZ","12226","0.0","366.013","0.0"
"133","BLZ","12227","0.0","56.152","0.0"
"134","BLZ","12229","0.0","375.063","0.0"
"135","BWA","7450","0.1","1378.632","0.007"
"136","BWA","7456","0.0","540.899","0.0"
"137","BWA","7457","0.0","145.994","0.0"
"138","BWA","7458","123.799","180.31","68.659"
"139","BWA","7459","3.915","1169.84","0.335"
"140","BWA","16796","30.173","662.986","4.551"
"141","BLZ","555542665","0.0","6.374","0.0"
"142","BLZ","37253","0.0","19.831","0.0"
"143","BLZ","301916","0.0","25.658","0.0"
"144","BLZ","12241","2.333","407.14","0.573"
"145","BHS","555625716","0.0","16.909","0.0"
"146","BHS","555625733","0.0","50.131","0.0"
"147","BLZ","555542666","0.0","38.157","0.0"
"148","BLZ","166863","24.906","148.46","16.776"
"149","BLZ","301909","0.0","739.904","0.0"
"150","BLZ","301911","0.0","37.024","0.0"
"151","BLZ","301992","0.0","22.346","0.0"
"152","BLZ","313429","0.0","24.006","0.0"
"153","BLZ","313431","0.0","36.562","0.0"
"154","BLZ","10579","0.0","497.695","0.0"
"155","ATG","902698","0.0","27.564","0.0"
"156","BHS","145515","0.0","775.217","0.0"
"157","BEN","2252","963.456","1193.926","80.696"
"158","BEN","2253","1457.078","1834.885","79.41"
"159","BEN","2254","1206.797","1331.604","90.627"
"160","AGO","2251","0.0","5328.493","0.0"
"161","AGO","3066","8288.166","8791.465","94.275"
"162","AGO","4490","0.0","215.616","0.0"
"163","AGO","4494","1.939","334.066","0.58"
"164","BWA","300280","0.0","752.263","0.0"
"165","BEN","597","2643.802","2844.631","92.94"
"166","BEN","12201","5014.313","5819.18","86.169"
"167","AGO","347","0.0","15350.033","0.0"
"168","AGO","348","1058.006","8651.685","12.229"
"169","AGO","349","11752.85","14272.561","82.346"
"170","AGO","350","2084.241","7772.755","26.815"
"171","AGO","351","592.707","645.773","91.783"
"172","AGO","2249","1233.032","5398.293","22.841"
"173","AGO","4493","5575.71","10493.855","53.133"
"174","AGO","5081","3886.618","5644.055","68.862"
"175","BEN","32995","0.315","6.988","4.508"
"176","BEN","32999","0.0","11.805","0.0"
"177","BEN","33005","0.0","65.866","0.0"
"178","BEN","33007","16.793","26.69","62.919"
"179","BEN","33010","35.282","52.966","66.613"
"180","BEN","33018","0.0","14.61","0.0"
"181","BEN","33019","0.477","20.158","2.366"
"182","BEN","33020","35.789","479.538","7.463"
"183","BEN","5157","21.606","131.699","16.406"
"184","BEN","5158","3.531","107.107","3.297"
"185","BEN","5159","0.0","30.753","0.0"
"186","BEN","5160","54.998","126.477","43.485"
"187","BEN","5161","0.0","38.653","0.0"
"188","BEN","5162","3.936","207.969","1.893"
"189","BEN","6950","152.592","771.038","19.79"
"190","BEN","6951","145.295","558.595","26.011"
"191","BEN","6952","1102.129","2717.37","40.559"
"192","BEN","6953","992.058","2618.188","37.891"
"193","BEN","6954","410.837","2236.819","18.367"
"194","BEN","6955","126.266","1184.446","10.66"
"195","BEN","6956","310.504","1908.099","16.273"
"196","BEN","7957","143.628","659.325","21.784"
"197","BEN","19277","24.47","311.088","7.866"
"198","BLZ","124383","0.0","1164.567","0.0"
"199","BWA","555577555","4521.84","20551.251","22.003"
"200","BLZ","902744","0.0","170.304","0.0"
"201","BWA","145516","5118.299","64362.553","7.952"
"202","BLZ","555623708","24.906","148.46","16.776"
"203","CUB","20209","0.0","60.963","0.0"
"204","CUB","31509","0.0","30.733","0.0"
"205","CUB","37249","0.0","201.885","0.0"
"206","CUB","71015","0.0","822.9","0.0"
"207","CUB","302595","0.0","74.215","0.0"
"208","CUB","302603","0.0","5.833","0.0"
"209","CUB","302610","0.0","11.555","0.0"
"210","CUB","302620","0.0","29.451","0.0"
"211","CUB","302628","0.0","3162.987","0.0"
"212","CUB","302629","0.0","1604.175","0.0"
"213","CUB","302630","0.0","255.971","0.0"
"214","CUB","302844","0.0","6.452","0.0"
"215","CUB","302888","0.0","7.645","0.0"
"216","CUB","302911","0.0","14.528","0.0"
"217","CUB","302931","0.0","23.746","0.0"
"218","CUB","302935","0.0","7.582","0.0"
"219","CUB","302983","0.0","14.967","0.0"
"220","CUB","302989","0.0","5.843","0.0"
"221","CUB","302995","0.0","18.573","0.0"
"222","CUB","317045","0.0","2019.483","0.0"
"223","CUB","555621482","0.0","17.664","0.0"
"224","CUB","555621509","0.0","74.118","0.0"
"225","CIV","1293","432.609","1228.155","35.224"
"226","CIV","1295","0.035","51.293","0.068"
"227","CIV","2293","0.0","280.049","0.0"
"228","CIV","555547525","97.563","206.882","47.159"
"229","CIV","555547526","17.479","28.5","61.33"
"230","CIV","555682982","191.062","241.903","78.983"
"231","DJI","555577573","0.0","75.262","0.0"
"232","DJI","555577574","0.0","250.314","0.0"
"233","CUB","555624218","0.0","399.137","0.0"
"234","DOM","555624219","0.0","637.507","0.0"
"235","DOM","555624220","0.0","1583.873","0.0"
"236","DOM","555624221","12.289","1156.206","1.063"
"237","DOM","555624222","0.0","10.522","0.0"
"238","COK","555624907","0.0","1982029.067","0.0"
"239","CMR","1240","0.0","5299.817","0.0"
"240","CMR","1628","0.0","45.719","0.0"
"241","CMR","20125","3.957","70.263","5.632"
"242","CMR","555697861","0.0","10.129","0.0"
"243","COG","313494","213.803","4541.604","4.708"
"244","COG","555571316","48.976","230.236","21.272"
"245","COG","555571318","51.988","210.341","24.716"
"246","COG","555571320","508.959","1794.292","28.365"
"247","COD","555512077","0.0","3652.664","0.0"
"248","COD","20324","8864.16","33009.74","26.853"
"249","COD","20330","347.015","1516.493","22.883"
"250","COD","20334","633.498","1000.232","63.335"
"251","COD","72340","0.0","483.394","0.0"
"252","COD","354001","142.829","24937.501","0.573"
"253","COD","5183","1227.222","2184.547","56.177"
"254","COD","555626064","78.442","5270.335","1.488"
"255","COD","555697865","0.0","1036.934","0.0"
"256","COM","313046","0.0","643.836","0.0"
"257","COM","555576144","0.0","92.761","0.0"
"258","COM","555576145","0.0","262.141","0.0"
"259","COM","555576146","0.0","65.007","0.0"
"260","COM","555576147","0.0","79.2","0.0"
"261","COM","555697862","0.0","23.142","0.0"
"262","CUB","36111","0.0","111.187","0.0"
"263","CUB","168258","0.0","204.897","0.0"
"264","CUB","168260","0.0","710.617","0.0"
"265","CUB","168261","0.0","395.358","0.0"
"266","CUB","302611","0.0","84.296","0.0"
"267","CUB","302634","0.0","288.325","0.0"
"268","CIV","721","0.0","5114.125","0.0"
"269","CIV","722","17.783","1035.962","1.717"
"270","CIV","723","835.109","981.753","85.063"
"271","CIV","724","37.415","304.343","12.294"
"272","CIV","725","0.0","34.627","0.0"
"273","CIV","7522","0.0","224.601","0.0"
"274","CIV","7523","11174.989","11568.188","96.601"
"275","CIV","20174","0.0","7.276","0.0"
"276","CMR","30674","0.0","3153.181","0.0"
"277","CMR","146627","201.639","996.727","20.23"
