"id","iso3","jan","feb","mar","apr","may","jun","jul","aug","sep","oct","nov","dec"
"1","AGO","537.0124268","549.425553","2596.967348","2177.525724","3227.05804","3328.983647","2937.829594","3431.914903","3165.374166","2935.428316","3124.825342","3180.644209"
"2","ATG","0.3157129731","0","0","0","0","0","0","0","0","0.0619133116","0","0"
"3","BEN","0","0","0","0","0","0","0","0","0","0","0","0"
"4","BHS","0","0.2274005562","0.2348372936","0","0","0","0","0","0","0","0","7.043093559"
"5","BLZ","0","0","0","0","0","0","0","0","0","0","0","0"
"6","BRB","0","0","0","0","0","0","0","0","0","0","0","0"
"7","CIV","383.3731911","637.9983789","659.9252916","725.0283653","1292.74827","1184.699747","1178.192667","1476.307357","1523.217974","944.8339848","2029.710426","788.4593448"
"8","CMR","0","0","43.4823893","48.06876023","29.65882865","25.68199958","20.40554054","37.53964562","76.52241454","86.06434124","66.00787617","21.23843149"
"9","COD","53.24346802","117.7636023","51.70186494","140.0811603","139.3135746","75.12104876","77.72479908","69.23703285","152.8328721","180.5807897","205.4055784","46.01020312"
"10","COG","758.2180491","780.4902484","938.4556333","781.1388698","956.5166149","768.7091672","933.8445845","917.2543472","820.0706286","631.2696606","578.202045","600.0450139"
"11","COM","0","0","0","0","0","0","0","0","0","0","0","0"
"12","CPV","5.909873903","0","0","0","0","0","0","0","0","0","0","0"
"13","CUB","0","0","2.659142868","1.396617865","0","0","0","5.149196344","0","2.378445625","0","0"
"14","DJI","0","0","0","0","0","0","0","0","0","0","0","0"
"15","DMA","0","0","0","0","0","0","0","0","0","0","0","0"
"16","DOM","0","0","0.5062468722","0","0.4228222743","0.1071219817","0","0","0","0","0","0"
"17","ERI","0","0","0","0","2.72867626","0","0","0","0","0","0","0"
"18","FJI","0","0","0","0","0","0","0","0","3.480989399","0","0","2.31171155"
"19","FSM","0","2.25E-04","0","0","0","0","0","0","0","0","0","0"
"20","GAB","1.396942973","0","5.670673115","0.7945278287","19.28869889","18.11712858","1.170101026","37.36113313","3.670389267","5.503326411","2.437640504","7.464509762"
"21","GHA","2075.945956","1375.751642","2354.875203","2431.940925","2446.374003","2987.274726","2965.789419","2338.191783","2781.45498","3537.517716","23.24242779","3195.50424"
"22","GIN","928.9319742","1596.765041","1629.702734","1179.719628","625.7586804","499.314053","446.7456886","210.9468021","389.7996564","740.829898","1043.930068","790.7720159"
"23","GMB","1.460955349","4.655883571","0.1640443243","1.56085418","1.412243647","10.15049763","22.00564421","3.422651534","0.7395010653","3.054532738","0.4884070463","6.865234309"
"24","GNB","983.5230231","2072.15019","3146.57016","3097.488355","3915.824004","3308.973334","3308.442483","3583.371407","3252.943963","3266.386448","2901.691293","2227.489248"
"25","GNQ","0","14.11653822","11.10637838","12.66962235","8.587675341","17.11191928","0","3.096367121","26.87914711","132.2120624","155.3836284","150.4642011"
