"id","wdpaid","name","marine","mang_plan","iso3","t_anomean"
"1","1","Diamond Reef and Salt Fish Tail Reef","2","Not Reported","ATG","0"
"2","24","Inagua National Park","0","http://www.bnt.bs//_m1731/The-National-Parks-of-The-Bahamas/Inagua-National-Park","BHS","0.402196303937512"
"3","27","Folkstone","1","Not Reported","BRB","-0.110412108321584"
"4","180","Cotubanamá (Del Este)","1","Yes, 2013","DOM","-0.205857698016362"
"5","181","Los Haitises","0","Yes, 2013","DOM","-0.642882520056621"
"6","198","Kaieteur National Park","0","Approved Management Plan 2015-2019","GUY","0.266511757705908"
"7","199","La Citadelle, Sans Souci, Ramiers","0","Not Reported","HTI","-0.1524638741505"
"8","202","Ocho Rios","2","Not Reported","JAM","-0.952575753297125"
"9","203","Montego Bay","1","Not Reported","JAM","-0.265326257449447"
"10","276","Sipaliwini","0","Not Reported","SUR","0.868232533186206"
"11","277","Brinck-heuvel","0","Not Reported","SUR","0.686802981795836"
"12","279","Brownsberg","0","Not Reported","SUR","0.675873283703872"
"13","280","Wia-Wia","1","Not Reported","SUR","-0.210552261704796"
"14","281","Coppename Monding","1","Not Reported","SUR","0.561887026839235"
"15","282","Galibi","1","Not Reported","SUR","0.925240827215964"
"16","290","Morne L'Enfer Reserve","0","Not Reported","TTO","-0.121596162521044"
"17","347","National Park Iona","0","Not Reported","AGO","0.820314639840173"
"18","348","National Park Quiçãma","0","Not Reported","AGO","0.822380554244402"
"19","349","National Park Cameia","0","Not Reported","AGO","-0.353380103656255"
"20","350","National Park Bicuar","0","Not Reported","AGO","0.676324355031522"
"21","351","National Park Cangandala","0","Not Reported","AGO","3.360582027228"
"22","597","Boucle de la Pendjari","0","Not Reported","BEN","-1.2090952455006"
"23","600","Chobe","0","Not Reported","BWA","-0.907944322003892"
"24","601","Nxai Pan","0","Not Reported","BWA","-0.748677880384098"
"25","606","Bouba Ndjida","0","Available 2010","CMR","-0.267444986810372"
"26","607","Bénoué","0","Available 2002","CMR","-0.420799898465935"
"27","608","Waza","0","Yes","CMR","-4.0854104933905"
"28","639","Bamingui-Bangoran","0","Not Reported","CAF","-0.29542110825937"
"29","641","Zakouma","0","Not Reported","TCD","-2.67841095478022"
"30","642","Manda","0","Not Reported","TCD","-0.797869105880681"
"31","643","Odzala Kokoua","0","Yes","COG","-0.160026824371792"
"32","652","Awash","0","Not Reported","ETH","-1.46521992168595"
"33","653","Simien Mountains","0","Not Reported","ETH","1.57999118226331"
"34","666","Wonga-Wongué","0","Not Reported","GAB","0.21740041599516"
"35","669","Mole","0","Management plan is implemented and available","GHA","0.24497623479129"
"36","670","Digya","0","Management plan is implemented and available","GHA","0.280504972599891"
"37","671","Bui","0","Management plan is not available","GHA","0.728536326858119"
"38","672","Bia National Park","0","Management plan is implemented and available","GHA","0.535363636363639"
"39","721","Taï National Park","0","Management plan is updated and implented","CIV","0.686896166822414"
"40","722","Marahoue National Park","0","Not Ready","CIV","2.5306031309549"
"41","723","Mont Sangbe National Park","0","Not Ready","CIV","0.332386272659249"
"42","724","Mont Peko National Park","0","Not Ready","CIV","0.615614414649518"
"43","725","Banco National Park","0","Existing","CIV","1.1401319356939"
"44","752","Tsavo East","0","Not Reported","KEN","1.59106588012437"
"45","753","Marsabit","0","Not Reported","KEN","-0.064976022194632"
"46","754","Sibiloi","0","Not Reported","KEN","-2.12438458150471"
"47","755","Meru","0","Not Reported","KEN","1.42341481578653"
"48","756","Aberdare","0","Not Reported","KEN","0.548308401369223"
"49","757","Mt. Kenya","0","Not Reported","KEN","-0.356816396983029"
"50","758","Amboseli","0","Not Reported","KEN","-0.237208199160906"
"51","759","Shimba Hills","0","Not Reported","KEN","1.25608685235437"
"52","760","Mt. Elgon","0","Not Reported","KEN","-0.569889757143951"
"53","761","Nairobi","0","Not Reported","KEN","2.66536163305384"
"54","762","Lake Nakuru","0","Not Reported","KEN","0.302313094900513"
"55","763","Kisite","2","Not Reported","KEN","0"
"56","764","Ol Donyo Sabuk","0","Not Reported","KEN","-0.102749558471014"
"57","765","Malindi","2","Not Reported","KEN","2.25201953488375"
"58","779","Nyika National Park","0","Available","MWI","-0.264652316882207"
"59","780","Kasungu National Park","0","Available","MWI","-0.99805176103309"
"60","797","Banc d'Arguin","1","Not Reported","MRT","0.288904177419562"
"61","799","Banhine","0","Existing","MOZ","-1.37520599835506"
"62","800","Zinave","0","Existing","MOZ","-2.93473576883093"
"63","801","Gorongosa","0","Existing","MOZ","-0.719892566954314"
"64","802","Bazaruto","2","Existing","MOZ","0.575018633012905"
"65","818","Parc National du W du Niger","0","Management plan is implemented and available, www.pag.parc w-niger","NER","-0.818595205964411"
"66","819","Kainji Lake","0","Not Reported","NGA","-0.119960164962541"
"67","838","Mc Adams","0","Not Reported","PNG","0.332942507249974"
"68","839","Varirata","0","Not Reported","PNG","1.76139378044211"
"69","862","Akagera","0","Not Reported","RWA","0.467130034347384"
"70","863","Volcans","0","Not Reported","RWA","-0.86112069217113"
"71","865","Niokolo Koba","0","Not Reported","SEN","-0.273060264681376"
"72","866","Delta du Saloum","1","Not Reported","SEN","-0.403019459102928"
"73","867","Oiseaux de Djoudj","0","Not Reported","SEN","1.26302496018335"
"74","868","Basse-Casamance","0","Not Reported","SEN","0.592535418568974"
"75","869","Langue de Barbarie","2","Not Reported","SEN","0.082529137529114"
"76","873","Kruger National Park","0","Not Reported","ZAF","-0.258157779172413"
"77","874","Kalahari Gemsbok National Park","0","Not Reported","ZAF","2.34475447775368"
"78","875","Addo-Elephant National Park","0","Not Reported","ZAF","0.991777797941509"
"79","876","Karoo National Park","0","Not Reported","ZAF","1.93864139315538"
"80","877","Mountain Zebra National Park","0","Not Reported","ZAF","1.93680264514339"
"81","878","Augrabies Falls National Park","0","Not Reported","ZAF","1.34769478510805"
"82","879","Golden Gate Highlands National Park","0","Not Reported","ZAF","0.382959717473661"
"83","881","Garden Route National Park","1","Not Reported","ZAF","0.337652745875507"
"84","882","Bontebok National Park","0","Not Reported","ZAF","0.854621778900004"
"85","883","Namib-Naukluft","0","Not Reported","NAM","1.46604121521619"
"86","884","Etosha","0","Not Reported","NAM","1.56756621652902"
"87","885","Skeleton Coast Park","0","Not Reported","NAM","0.394758219088377"
"88","887","Waterberg Plateau Park","0","Not Reported","NAM","0.815847097139455"
"89","903","Southern","0","Not Existing","SSD","0.253851711661272"
"90","904","Nimule","0","Not Existing","SSD","-1.79874026725588"
"91","916","Serengeti National Park","0","Not Reported","TZA","0.641073351922784"
"92","917","Ruaha National Park","0","Not Reported","TZA","-0.264036858904473"
"93","919","Mikumi National Park","0","Not Reported","TZA","-2.50502669451228"
"94","920","Tarangire National Park","0","Not Reported","TZA","2.4846977313033"
"95","921","Katavi National Park","0","Not Reported","TZA","-1.32501881156468"
"96","922","Kilimanjaro National Park","0","Not Reported","TZA","-0.382988945662786"
"97","923","Rubondo Island National Park","0","Not Reported","TZA","0.516468985207993"
"98","924","Lake Manyara National Park","0","Not Reported","TZA","-0.52415404574539"
"99","925","Arusha National Park","0","Not Reported","TZA","-0.685948777612928"
"100","926","Gombe National Park","0","Not Reported","TZA","-0.392115778403248"
"101","956","Murchison Falls","0","Not Reported","UGA","-0.558049168905723"
"102","957","Queen Elizabeth","0","Not Reported","UGA","2.24566309618127"
"103","958","Kidepo Valley","0","Not Reported","UGA","-0.339176539649376"
"104","1048","W du Burkina Faso","0","Not Reported","BFA","-0.118248151166064"
"105","1049","Kabore-Tambi","0","Not Reported","BFA","0.801992613722224"
"106","1079","Upemba","0","Not Reported","COD","-0.027617220076719"
"107","1080","Maiko","0","Not Reported","COD","0.169527422896627"
"108","1082","Kahuzi-Biega","0","Not Reported","COD","-0.341418870146663"
"109","1083","Garamba","0","Not Reported","COD","-0.205501385489381"
"110","1084","Kundelungu","0","Not Reported","COD","-0.839285205371085"
"111","1085","Kafue","0","Not Reported","ZMB","-1.38638082750158"
"112","1086","South Luangwa","0","Not Reported","ZMB","-1.43879019008514"
"113","1087","Sioma Ngwezi","0","Not Reported","ZMB","-1.96102716315837"
"114","1088","North Luangwa","0","Not Reported","ZMB","-1.1495279886586"
"115","1089","Liuwa Plain","0","Not Reported","ZMB","-0.675335940856841"
"116","1090","Mweru Wantipa","0","Not Reported","ZMB","0.024209374332953"
"117","1091","Lukusuzi","0","Not Reported","ZMB","-0.649285726997994"
"118","1092","Nsumbu","0","Not Reported","ZMB","-0.152008817447452"
"119","1093","West Lunga","0","Not Reported","ZMB","-0.748479637416164"
"120","1094","Lavushi Manda","0","Not Reported","ZMB","-0.471311741427193"
"121","1095","Lusenga Plain","0","Not Reported","ZMB","-0.744720787117337"
"122","1096","Isangano","0","Not Reported","ZMB","-0.37647304091223"
"123","1097","Blue Lagoon","0","Not Reported","ZMB","-2.40028620202285"
"124","1098","Lochinvar","0","Not Reported","ZMB","-2.44836918007816"
"125","1099","Kasanka","0","Not Reported","ZMB","-0.606508307842068"
"126","1100","Luambe","0","Not Reported","ZMB","-1.74170623662332"
"127","1102","Nyika","0","Not Reported","ZMB","0.472624081846766"
"128","1104","Gonarezhou","0","Not Reported","ZWE","-2.92550698868602"
"129","1105","Chizarira","0","Not Reported","ZWE","-1.80011379721018"
"130","1107","Matusadona","0","Not Reported","ZWE","-1.22879868603481"
"131","1110","Matopos","0","Not Reported","ZWE","-0.962697320256291"
"132","1111","Nyanga","0","Not Reported","ZWE","-1.73297990135945"
"133","1112","Kazuma Pan","0","Not Reported","ZWE","-1.23692814869352"
"134","1113","Kyle","0","Not Reported","ZWE","-1.00685111452867"
"135","1116","Ngezi","0","Not Reported","ZWE","-0.671912340553647"
"136","1117","Sebakwe","0","Not Reported","ZWE","-0.679905907539254"
"137","1224","Makgadikgadi Pans","0","Not Reported","BWA","-1.1591960608865"
"138","1240","Dja","0","Yes","CMR","0.425318329825899"
"139","1241","Faro","0","Available 2008","CMR","-0.942977124342041"
"140","1242","Campo-Ma'an","0","Yes","CMR","0.210751159021966"
"141","1244","Douala Edéa","1","No","CMR","1.1024803152955"
"142","1245","Lobéké","0","Yes","CMR","-0.02069493676079"
"143","1249","Vassako-Bolo","0","Not Reported","CAF","-0.475453619903163"
"144","1250","Ouadi Rimé-Ouadi Achim","0","Not Reported","TCD","-1.83203011410096"
"145","1293","Haut Bandama Fauna and floral Reserve","0","Not Ready","CIV","0.422102584842531"
"146","1295","Mount Nimba Integral Reserve","0","Not Ready","CIV","0.820559089455466"
"147","1297","Masai Mara","0","Not Reported","KEN","3.36958443958194"
"148","1299","Ankarafantsika","0","Not Reported","MDG","1.74163698974696"
"149","1332","Yankari","0","Not Reported","NGA","-0.237477096678961"
"150","1342","Aldabra Atoll","2","Not Reported","SYC","0.28638342102221"
"151","1350","Itala Nature Reserve","0","Not Reported","ZAF","0.431569019923006"
"152","1353","Umtamvuna Nature Reserve","0","Not Reported","ZAF","-0.11364929254196"
"153","1354","Tussen-die-Riviere Game Farm","0","Not Reported","ZAF","2.95554338763526"
"154","1355","Willem Pretorius Game Reserve","0","Not Reported","ZAF","0.80631218160641"
"155","1357","Suikerbosrand Nature Reserve","0","Not Reported","ZAF","0.001879126910705"
"156","1361","Cape Cross Seal Reserve","0","Not Reported","NAM","-0.236966206311338"
